cris_id,title,publication_type,doi,doi_link,resolved_doi_link
17072734,An Approach to Ad-hoc Messaging Networks Using Time Shifted Propagation,Forschungsartikel (Zeitschrift),10.1.1.93.7074,https://doi.org/10.1.1.93.7074,https://doi.org/10.1.1.93.7074
17136354,How Regular Are Conjugate Exponential Families?,Forschungsartikel (Zeitschrift),10.1016/0167-7152(89)90117-X,https://doi.org/10.1016/0167-7152(89)90117-X,https://linkinghub.elsevier.com/retrieve/pii/016771528990117X
17136433,On the Attainment of the Cramér-Rao Bound in Lr-Differentiable Families of Distributions.,Forschungsartikel (Zeitschrift),10.1214/aos/1176347392,https://doi.org/10.1214/aos/1176347392,https://projecteuclid.org/journals/annals-of-statistics/volume-17/issue-4/On-the-Attainment-of-the-Cramer-Rao-Bound-in-mathbbL_r/10.1214/aos/1176347392.full
17139485,Bargaining solutions as social compromises,Forschungsartikel (Zeitschrift),10.1023/B:THEO.0000047489.82529.18,https://doi.org/10.1023/B:THEO.0000047489.82529.18,https://link.springer.com/article/10.1023/B:THEO.0000047489.82529.18
17139576,From poverty measurement to the measurement of downside risk,Forschungsartikel (Zeitschrift),10.1016/j.mathsocsci.2003.07.001,https://doi.org/10.1016/j.mathsocsci.2003.07.001,https://linkinghub.elsevier.com/retrieve/pii/S016548960300088X
17145856,European Stock Markets and the ECB's Monetary Policy Surprises,Forschungsartikel (Zeitschrift),10.1111/j.1468-2362.2008.00219.x,https://doi.org/10.1111/j.1468-2362.2008.00219.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2362.2008.00219.x
17145938,Policy Words and Policy Deeds: The ECB and the Euro,Forschungsartikel (Zeitschrift),10.1002/ijfe.342,https://doi.org/10.1002/ijfe.342,https://onlinelibrary.wiley.com/doi/10.1002/ijfe.342
17156794,Consumer Cocreation in New Product Development,Forschungsartikel (Zeitschrift),10.1177/1094670510375604,https://doi.org/10.1177/1094670510375604,https://journals.sagepub.com/doi/10.1177/1094670510375604
17156884,CRM in Data-Rich Multichannel Retailing Environments: A Review and Future Research Directions,Forschungsartikel (Zeitschrift),10.1016/j.intmar.2010.02.009,https://doi.org/10.1016/j.intmar.2010.02.009,https://journals.sagepub.com/doi/10.1016/j.intmar.2010.02.009
17156975,Customer Engagement as a New Perspective in Customer Management,Forschungsartikel (Zeitschrift),10.1177/1094670510375461,https://doi.org/10.1177/1094670510375461,https://journals.sagepub.com/doi/10.1177/1094670510375461
17157065,Delegation of Pricing Authority to the Sales Force: An Agency-Theoretic Perspective of its Determinants and Impact on Performance,Forschungsartikel (Zeitschrift),10.1016/j.ijresmar.2009.09.006,https://doi.org/10.1016/j.ijresmar.2009.09.006,https://linkinghub.elsevier.com/retrieve/pii/S0167811609000925
17157156,Determinants of the Variety of Routes to Market,Forschungsartikel (Zeitschrift),10.1016/j.ijresmar.2006.09.002,https://doi.org/10.1016/j.ijresmar.2006.09.002,https://linkinghub.elsevier.com/retrieve/pii/S0167811606000838
